age,gender,annual_income,spending_score,age_group,income_category,spending_category,customer_segment
58,Female,71,38.5,Middle Age,Low,Low,Budget
25,Female,139,86.0,Young,High,High spender,Average
19,Male,71,37.6,Young,Low,Low,Budget
65,Male,84,63.0,Senior,Medium,Medium,Average
35,Male,126,74.3,Adult,High,High spender,Average
33,Female,139,65.3,Adult,High,Medium,Average
32,Female,22,15.5,Adult,Low,Low,Budget
26,Male,114,69.8,Adult,Medium,Medium,Average
65,Male,101,53.0,Senior,Medium,Medium,Average
24,Male,118,53.7,Young,High,Medium,Average
61,Male,57,54.2,Senior,Low,Medium,Average
65,Female,134,80.6,Senior,High,High spender,Average
52,Male,47,31.7,Middle Age,Low,Low,Budget
23,Female,21,16.2,Young,Low,Low,Budget
55,Male,115,72.8,Middle Age,Medium,High spender,Average
45,Female,21,24.8,Middle Age,Low,Low,Budget
20,Female,36,47.1,Young,Low,Low,Budget
19,Male,124,74.3,Young,High,High spender,Average
23,Male,49,33.6,Young,Low,Low,Budget
31,Female,133,87.3,Adult,High,High spender,Average
32,Male,61,64.0,Adult,Low,Medium,Average
50,Male,27,15.5,Middle Age,Low,Low,Budget
56,Male,81,47.7,Middle Age,Low,Low,Budget
19,Male,112,64.4,Young,Medium,Medium,Average
53,Male,98,70.2,Middle Age,Medium,Medium,Average
30,Male,69,48.9,Adult,Low,Low,Budget
63,Female,131,78.7,Senior,High,High spender,Average
59,Female,98,66.1,Middle Age,Medium,Medium,Average
62,Female,101,42.8,Senior,Medium,Low,Average
52,Male,112,70.8,Middle Age,Medium,Medium,Average
44,Female,86,47.8,Middle Age,Medium,Low,Average
32,Male,122,86.6,Adult,High,High spender,Average
46,Male,79,48.1,Middle Age,Low,Low,Budget
55,Female,35,40.3,Middle Age,Low,Low,Budget
35,Male,135,64.8,Adult,High,Medium,Average
69,Female,19,8.8,Senior,Low,Low,Budget
18,Female,28,39.3,Young,Low,Low,Budget
66,Female,104,71.8,Senior,Medium,Medium,Average
69,Female,72,37.7,Senior,Low,Low,Budget
28,Female,32,20.3,Adult,Low,Low,Budget
62,Female,25,22.9,Senior,Low,Low,Budget
45,Male,22,19.1,Middle Age,Low,Low,Budget
39,Male,78,51.6,Adult,Low,Medium,Average
35,Female,66,47.6,Adult,Low,Low,Budget
27,Male,20,28.1,Adult,Low,Low,Budget
31,Male,54,35.2,Adult,Low,Low,Budget
66,Male,76,28.1,Senior,Low,Low,Budget
39,Female,47,45.0,Adult,Low,Low,Budget
24,Male,136,80.1,Young,High,High spender,Average
23,Male,44,30.0,Young,Low,Low,Budget
42,Female,70,56.4,Middle Age,Low,Medium,Average
24,Male,134,58.1,Young,High,Medium,Average
40,Male,80,59.8,Adult,Low,Medium,Average
40,Male,109,69.8,Adult,Medium,Medium,Average
56,Male,57,48.5,Middle Age,Low,Low,Budget
34,Male,44,32.8,Adult,Low,Low,Budget
69,Male,56,38.2,Senior,Low,Low,Budget
20,Male,94,74.4,Young,Medium,High spender,Average
64,Female,42,46.8,Senior,Low,Low,Budget
47,Male,21,24.1,Middle Age,Low,Low,Budget
52,Male,94,33.5,Middle Age,Medium,Low,Average
25,Male,111,67.0,Young,Medium,Medium,Average
